m_chi10,m_slepton
17.3074,101.4168
25.9652,115.0880
31.9413,131.3954
33.6149,134.7295
42.7530,147.7029
49.9223,154.0923
66.2297,160.8622
82.5371,162.4215
89.3415,164.0103
98.8446,166.5392
112.3449,180.3177
115.1520,182.4186
129.9253,196.6251
131.4594,199.2310
137.9021,212.9326
147.7669,221.9956
162.5384,229.2400
164.0743,230.3553
176.2417,245.5474
180.3817,252.9605
186.3387,261.8549
196.6891,269.8112
212.9966,276.5489
215.6112,278.1623
226.5131,294.4697
229.3040,300.8683
233.9475,310.7771
245.6114,322.6640
253.4969,327.0846
261.9189,334.1225
268.0024,343.3920
274.1790,359.6994
278.2263,367.1470
285.1836,376.0069
294.5337,385.5012
302.5100,392.3143
310.8411,405.2097
312.6235,408.6217
321.0684,424.9291
327.1486,434.0071
334.1500,441.2366
343.4560,453.9453
345.7286,457.5440
350.7800,473.8514
358.1521,490.1589
359.7634,494.1069
365.5301,506.4663
370.8473,522.7737
376.0709,539.0595
376.0795,539.0811
378.6258,555.3886
376.0709,563.5742
373.1172,571.6960
362.4894,588.0034
359.7634,591.8576
348.3443,604.3109
343.4560,609.5178
330.2975,620.6183
327.1486,623.2205
310.8411,634.7428
307.0183,636.9257
294.5337,643.2435
278.2263,647.9831
261.9189,651.4814
251.8769,653.2331
245.6114,654.2626
229.3040,656.6250
212.9966,658.8116
196.6891,660.7868
180.3817,662.2363
164.0743,663.7365
147.7669,665.0199
131.4594,665.9280
115.1520,666.4578
98.8446,666.7481
82.5371,666.9923
66.2297,667.0828
49.9223,667.0376
33.6149,667.0336
17.3074,667.4503
1.0000,668.9425
